"a lot" "много, множество, масса"
"to say" "говорить, сказать"
"to stress" "подчеркивать, ставить ударение"
"To sum up" "подводить итоги, резюмировать"
"to take" брать
"to the pictures" "в кино"
"to want" хотеть
today сегодня
"tomorrow morning" "Завтра утром"
tonight "Сегодня ночью, сегодня вечером"
tooth зуб
top "вверх, верхний, высший"
towards "к, в направлении, навстречу"
towel полотенце
"traffic lights" светофоры
train "поезд, состав, обучать, тренировать, готовить"
trap "ловушка, улавливать"
travel "путешествовать, ездить"
treat "обходиться, относиться"
tree дерево
trend тенденция
trouble "беда, неприятность, беспокоить, беспокоиться"
trust "доверие, вера"
try пытаться
trying пытаясь
turn повернуть
"turn back" "повернуть назад"
"turn into" "превращать во что-либо"
"turn off" "Закрыть (кран), выключить (свет)"
"turn up" "внезапно появляться"
twice дважды
ugly страшный
uncle дядя
underground метрополитен
unfair "неправильный, несправедливый"
unfortunate "несчастный, неудачный"
ungrateful неблагодарный
unimportant неважный
union союз
"unique (юник)" "неповторимый, уникальный"
unit "блок, узел"
united "единый, дружный"
universe вселенная
unlike "в отличие от, непохожий на"
unlikely "вряд ли, едва ли, навряд ли"
unload разгружать
unpaid бесплатный
unpleasant неприятный
unusual необыкновенный
update "обновить, обновлять, модернизация"
uphill "в гору"
upon "на, по, после"
upset "расстроиться, огорчение"
"upset oneself" нервничать
up-stairs "вверх по лестнице"
up-to-date "современный, новейший"
useful полезный
usual обычный
usually обычно
valuable ценный
value "стоимость, ценность"
vanish "исчезать, пропадать, скольжение"
variety разнообразие
various "различный, многообразный"
vary "изменять, меняться"
vegetables овощи
view "вид, мнение, взгляд, пейзаж, точка зрения, картина"
village деревня
"Violence (вайлэнс)" "насилие, жестокость"
"Violent (вайлэнт)" "насильственный, яростный, агрессивный"
vision зрение
visit "посещать, наведывать, поездка, посещение"
visitor гость
"wait for" ждать
"waiting nothing in return" "ничего не ожидая взамен"
walk "ходить пешком"
"walking tour" "экскурсия пешком"
walrus морж
warm теплый
wash мыть
"wash up" "мыть посуду"
waste терять
watch "наблюдать, следить"
weak "слабый, слабовольный, бессильный"
wear носить
weather погода
weigh весить
well "что ж"
wet "мокрый, влажный, сырой"
whatever "без разницы"
wheel колесо
where "где, куда"
where где
wherefrom откуда
wherever "где бы, где бы ни, куда бы ни"
which который
while "в то время как, пока, до тех пор пока, тогда как"
whizz мчаться
who кто
whole целый
wholly "полностью, целиком"
whom кого
whose чей
wide широкий
widow вдова
will "воля, желание"
"will come true" сбудется
wise мудрый
wish желать
with с
"with one another" "друг с другом"
within "в, в пределах, в границах, внутри, не далее как"
"without leaving home" "не выходя из дома"
witness свидетель
wonder "задаваться вопросом, удивляться, чудо, удивление, изумление"
wooden деревянный
work работа
worker "работник, рабочий"
worry "беспокоиться, волноваться"
worth "стоимость, стоящий"
would бы
"would like" "хотел бы"
wreck крушение
writer "писатель, автор, сочинитель"
wrong неправильный
year год
yell "громко кричать, вопить"
yet "все же, все еще"
young молодой
youngster "молодой человек"
your Ваш
"you're mistaken" "вы ошибаетесь"
yourself "сам, себя"
youth юноша
just "просто, едва, только, только что"
ability "способность, возможность"
acceptable "приемлемый, допустимый"
accidental случайный
accommodation "помещение, жилье"
advanced "передовой, продвинутый"
affect "воздействовать, влиять"
afterwards "впоследствии, позднее"
reckless "безрассудный, опрометчивый"
"apologize = apologise" "извиняться, просить прощения"
apparently "очевидно, по-видимому"
approval "одобрение, утверждение"
adjustment регулировка
arrange "договариваться, устраивать"
ashamed пристыженный
attach "прикреплять, прилагать"
attachment "прикрепление, привязанность, присоединение"
aware "знающий, осведомленный"
awesome "здорово, устрашающий, отлично смотрящийся"
suggest "предлагать, говорить о, означать"
backwards "назад, обратно"
band "оркестр, лента, полоса"
bang "удар, стук"
bath ванна
bear "терпеть, выносить"
bend "сгибать, гнуть"
beneath "под, ниже, внизу"
beyond "за, по ту сторону, за пределами"
bin ящик
boil "вариться, кипятиться"
borrow "одалживать, занимать"
bottom "дно, низ, нижний"
"break down" "разрушать, разбивать на кусочки"
"break in" "вламываться, врываться"
"break out" "выламывать, выпихивать"
"break through" "прорваться, пробиться"
"break up" "крошиться на мелкие части"
brief "короткий, недолгий"
broad широкий
"bury (бэри)" "закапывать, хоронить, прятать"
bush куст
bye "до свидания"
"environment (инвайронмэнт)" "окружающая среда"
increase "увеличение, прирост, увеличиваться"
enterprise "предприятие, предпринимательство"
pollute "загрязнять, загрязнение"
plant растение
careless "неосторожный, небрежный"
interaction взаимодействие
"sign (сайн)" "знак, признак"
measure "мера, степень"
preserve сохранять
"vast (васт)" "огромный, обширный, громадный, безбрежный, простор"
"square (сквэ)" "квадратный, квадрат"
desert "пустыня, пустынный, скучная тема, скучная работа, необитаемое пустынное место"
account "счет, отчет, расчет"
sailor "матрос, моряк"
"I'm glad to see you" "я рад тебя видеть"
situate "размещать, располагать"
only "всего, только, лишь, единственно, всего-навсего"
mainly "в основном"
"tie (тай)" "галстук, связь, связать"
developed "развитой, развитый"
wool шерсть
"i don't care" "мне все равно"
"account
body language accounts for 55% of the effect we have when communicating" "счет, отчет, приходится"
"in other words" "другими словами"
caution "осторожность, предостерегать,"
cautious "осторожный, предусмотрительный"
maintain "поддерживать, сохранять в исправности"
"call back" перезванивать
"call off" "отменять, откладывать, переносить"
calmly "спокойно, невозмутимо"
challenge "вызов, сложная проблема, сложная задача"
charge "плата, цена, назначать, запрашивать цену"
cheat "обманывать, надувать"
cheek щека
cheque чек
chief "главный, основной"
circumstance "обстоятельство, случай"
closely "близко, вплотную"
"come down" "спускаться, опускаться"
"come up" "подниматься, возникать"
cruelty жестокость
dangerous опасный
deaf глухой
defeat "одержать победу, поражение, разгром"
defend защищать(ся)
delicate нежный
demand требовать
disapprove "осуждать, не одобрять"
distant "дальний, далекий"
duty обязанность
explanation "пояснение, разъяснение"
expression выражение
extra "добавочный, дополнительно"
extremely "чрезвычайно, крайне"
"i used to be" "я когда-то был"
"i'm used to be" "я привык быть"
"i would like to point up" "я хотел бы указать"
"point up" указывать
"no way" "ни за что"
Ain’t "is not, are not, am not"
Wanna "want to"
Gonna "going to"
Wannabee "человек, желающий быть похожим на какую-либо известную личность (Elvis Presley wannabees)"
Gotta "Have to"
Dunno "don’t know"
"Yep [jɛp] and Nope [nəʊp]" "Yes and No"
"come to know" узнавать
"take a while" "занять некоторое время"
"is this gonna take a while?" "Это займет некоторое время?"
"It was way back in (2005)" "Это было еще в (2005)"
"It doesn't go with your suit" "Это не идет вашему костюму"
"Have you met Ted" "Вы знакомы с Тедом"
"I can this" "Я могу справиться с этим"
"Damn it" "Черт возьми"
someday Когда-нибудь
handle "ручка, рукоять, держать в руках, обращаться, управлять, регулировать"
"Got it" понял
"plan out" планировать
"are you kidding" "Ты шутишь?"
asleep спящий
"before long" вскоре
ordinarily "обычно, обыкновенно"
"in a weird way" "странным образом, странно"
"ever since" "с тех пор"
"What are the odds?" "Каковы шансы?"
"if you feel like" "Если ты хочешь"
"I wish I could" "Мне хотелось бы, чтобы я мог"
"I see what this is about" "я понимаю о чем это"
eventually "в конечном счете, в конце концов"
"vow (воу)" клятва
"Take us" "отвези нас"
barely "едва, только, лишь, просто, прямо"
"That's gonna take a week ?" "Это займет неделю?"
"till break of dawn" "до начала рассвета"
"Dawn (доон)" рассвет
"break of 10.30" "продолжалось до 10.30?"
"or no dice" "или я не играю"
"I'll be right there" "я буду именно там"
"It had absolutely nothing to do with" "это не имело никакого отношения к"
"It has to do with …" "это связано с, это имеет отношение к …"
"since when" "с каких пор"
"since about" "так как, примерно"
"she said something about me, didn't she?" "Она сказала, что-то обо мне, не так ли?"
"run into" "столкнуться, случайно встретиться"
"make yourself at home" "чувствуй себя как дома"
skyline горизонт
congratulate поздравлять
congratulations поздравляю
"if it hadn't been for that shirt" "если бы не эта рубашка"
"That's the crazy part" "это самое смешное"
"The point is" "дело в том"
"I could've" "я мог бы"
finally "окончательно, в конце концов, в конечном счете, наконец"
"this wasn't about the money" "это было не из-за денег"
underappreciate недооценивать
"at the time" "в то время"
"hard workers" работяги
"kinda (kind of)" вроде
"you didn't" "нет, ты не сделал этого"
"Well, guess what?" "Эм, знаешь что?"
"It turns out" "Оказалось, получается"
become "становиться, быть к лицу, годиться"
anyway "в любом случае, так или иначе, как-нибудь, кое-как"
"What's going on?" "Что происходит?"
sweet "сладкий, милый, нежный"
"These look kind of like book" "Это смахивает на книгу"
bartender бармен
buddy "дружище, приятель"
"Yeah, and say what?" "Да, и что сказать?"
"for a reason" "не просто так"
"and it's gonna keep on happening until…" "И это будет происходить пока …"
"keep on" "Продолжай, продолжать, не снимать, сохранять в прежнем положении"
"Take it slow" "Действуй не спеша"
"what time it is?" "Который сейчас час?"
forbidden запрещено
forbid "запретить, запрещать"
"if only you could see yourself" "Если бы вы могли видеть себя"
way "способ, путь, далеко, значительно"
"How way?" "Насколько намного?"
setting "установка, окружающая обстановка, художественное оформление"
"write down" записывать
"How's it going?" "Как дела?"
"we go way back" "Мы возвращаемся обратно"
"Isn't there room for just one more person?" "Разве нет места для еще одного человека"
"But, to be fair" "Но, если честно"
"Around the corner" "За углом"
whether ли
straight "прямо, сразу, подряд, немедленно"
"bring it on" "давай, пусть так и будет"
"put up" "мириться, терпеть, вкладывать"
remain "Оставаться, продержаться, пребывать на прежнем месте, пребывать в прежнем состоянии"
"where it belongs" "где ему и место"
"Because of the whole thing" "Это все из-за того…"
"by then" "к тому времени"
"for now" "пока еще, на данный момент"
"come over" "присоединяться, приезжать"
"I guess" "Я полагаю"
"If anything" "Что бы там ни было"
"sure enough" "Как и следовало ожидать, без сомнения"
"All the way here" "Прямо сюда"
absent "нет на месте, отсутствовать, отлучаться, без"
"let it go!" "перестань!, отпусти ситуацию!"
"that is for sure" "это уж точно"
"good enough" "ну и ладно"
"count on" "рассчитывать на"
innocent "невинный, наивный, простодушный"
"Here’s the thing" "Вот в чем дело"
"i got to go" "мне нужно идти"
cause "причина, повод, быть причиной, вызывать"
fear "Страх, боязнь, бояться, опасаться"
"supposed to be" "должно быть"
"in order to" "для того, чтобы"
"attentively (атентивли)" внимательно
concern "беспокойство, касаться, заботиться, относиться"
satisfy "Удовлетворять, отвечать требованиям"
contempt "презрение, неуважение"
prompt "подсказка, напоминание, быстро, точно"
"who cares?" "какая разница?"
destiny "судьба, удел, предназначение, неизбежность"
"Take for instance" "возьмем к примеру"
lest "Чтобы не, как бы не, как бы ни"
"i want to make this right" "Я хочу все исправить"
"could be" Возможно
difference "различие, отличие"
difficulty трудность
disagree "не соглашаться, не совпадать, противоречить"
disgusting противный
dish блюдо
eager "Нетерпеливый, стремящийся"
edge "Кромка, край"
enemy враг
excited "возбужденный, взволнованный"
exhibition выставка
exploration "исследование, изучение"
feature "Особенность, характерная черта"
append "Присоединять, добавлять, привешивать в конец"
female "женский пол, самка, женщина"
fence "забор, ограждение"
"figure out" выяснить
figure "цифра, фигура, рисунок"
float "плавать, держаться на воде, поплавок"
future будущее
generous "щедрый, великодушный"
gentle "ласковый, нежный"
genuine "истинный, реальный"
government правительство
grade "степень, класс, сорт"
guide "руководство, руководить, вести, направлять"
guilty "виновный, виноватый"
"hold out" "продержаться, держаться до конца, не сдаваться"
instant "мгновенный, растворимый"
journey "путешествие, поездка"
juice сок
keen "острый, сильный, резкий"
lonely одинокий
"look after" "Присматривать, ухаживать за"
"look around" осматривать
"look back (on)" "Оглядываться (на)"
"look up" "искать (в справочнике), поднимать глаза вверх"
loss "потеря, утрата, пропажа"
lower "нижний, низший"
male "самец, мужской пол"
meanwhile "между тем, тем временем"
mess беспорядок
occur "происходить, приходить на ум, попадаться"
otherwise "в противном случае, иначе"
excel превосходить
"we agreed" "мы договорились, мы согласились"
"I agree" "Я согласен"
provide "Предоставлять, предусматривать, обеспечивать"
somehow "как-нибудь, как-то, почему-то"
essential "Существенный, основной, необходимый"
postpone "Откладывать, отсрочивать"
"No big deal" "Ничего особенного"
"What’s the big deal" "Какая разница"
"one at a time" "по одному"
"what for" зачем
"There is no way" "выхода нет, нет возможности"
insist "настаивать, настоять, настойчиво утверждать"
involve "включать, вовлекать, впутывать"
violation нарушение
desperate "отчаянный, безнадежный"
"to take action" действовать
"effortless (эфотлэсс)" Легкий
suspect "подозревать, полагать, предполагать, подозрительный"
"imply (имплай)" "подразумевать, означать, предполагать, значить"
staircase лестница
"cosy (коузи)" уютный
"awful (оуфул)" ужасный
greatly "значительно, очень, весьма"
"any at all" вообще
"if any at all" "если вообще таковые имеются"
"get on" "ладить, уживаться"
"getting along" преуспевать
detached отдельный
"as much" столько
shortage нехватка
"worth it" "оно того стоило"
"is happening" "это по настоящему"
willing "готовый, старательный"
overhear подслушивать
deserve "заслуживать, быть достойным"
ridiculous "смешной, нелепый"
"fall apart" "развалиться, распадаться"
voting голосование
vote голос
"from above" сверху
"from below" снизу
despite "несмотря, вопреки"
regardless "не считаясь ни с чем, не обращая внимание, не смотря на"
negotiation "переговоры, согласование, обсуждение условий"
hopeless "безнадежный, безвыходный"
importance "важность, значение, значительность"
"utmost (оутмоуст)" "самое большое, предельное, крайнее"
"it is been 5 years" "прошло 5 лет"
"not yet" "пока еще нет"
"I made myself clear" "Я ясно дал понять"
"move on" "двигаться дальше"
"as if" "как будто, словно"
intend "намереваться, подразумевать"
assume предполагать
wrap заворачивать
outline контур
specify "указывать, уточнять"
"vice versa" наоборот
"for real" "серьезно, по-настоящему"
"this is not true" "это не так"
differently "иначе, различно, по-иному, по-разному"
"be back" вернуться
"be over" "подойти к концу"
"be up" проснуться
affordable "доступный, допустимый, по средствам"
regard "что касается, относиться, считать"
assume предполагать
wrap заворачивать
outline контур
specify "указывать, уточнять"
"vice versa" наоборот
"for real" "серьезно, по-настоящему"
"this is not true" "это не так"
differently "иначе, различно, по-иному, по-разному"
"be back" вернуться
"be over" "подойти к концу"
"be up" проснуться
"break out" "вспыхнуть, вырваться"
"check in" зарегистрироваться
"cut off" "отрезать, прерваться"
"dream up" выдумать
"look forward to" ждать
"pull on" надевать
"switch off/on" выключать/включать
"watch out" "вести себя осторожно, начеку"
"work up" разработать
neat аккуратный
affair дело
"to begin with" "начнем с того, что"
"frankly speaking" "откровенно говоря"
"to be more precise (присис)" "чтобы быть более точным"
"to be quite frank" "совершенно откровенно"
"to cut a long story short" "короче говоря"
"to put it bluntly" "грубо говоря"
"to put it in a nutshell" "вкратце, в двух словах"
"to say the least" "без преувеличения, по меньшей мере"
"so to speak" "так сказать"
"to put it mildly" "мягко говоря"
"strange as it may seem" "как ни странно"
"to sum it up" "подводя итоги"
"to tell the truth" "по правде говоря"
"strictly speaking" "собственно говоря"
"for years to come" "на долгие годы"
"take the trouble" "потрудиться, взять на себя труд"
"to get it right" "понять правильно"
scope "объем, пределы"
appropriate присвоить
"much like" "так же как"
narrate "повествовать, рассказывать"
dare осмелиться
"upside down" "вверх ногами"
"long, long ago, way back" давно
"you may well" "ты вполне можешь"
encounter "столкновение, неожиданная встреча"
hence следовательно
ultimately "в конечном счете, в конце концов"
significant существенный
confidently уверенно
assured уверенный
quarter четверть
distracted "рассеянный, обезумевший"
"continually, over and over again" "беспрестанно, снова и снова"
"for ever and ever" навсегда
awake "бодрствующий, проснуться"
"not at all, It's my pleasure" "не за что"
"on my own" самостоятельно
"by my own" "в одиночку"
"by my side" "на моей стороне"
"on his own, on her own" "сам по себе, сама по себе"
collaborate сотрудничать
"free of charge" бесплатно
"time and time again" "снова и снова"
inescapable "неотвратимый, неизбежный"
paramount "первостепенный, важнейший"
perform "выполнять, совершать, исполнять"
confuse "сбивать с толку, смущать, спутывать"
"Looking forward" "жду с нетерпением"
sequence последовательность
terrify "устрашать, вселять ужас"
evenly равномерно
"till late at night" "до поздней ночи"
"let it be" "будь как будет"
accomplish "выполнять, достигать, доводить до конца"
dedicated преданный
"per days" "за сутки"
"per day" "в день"
temptation "искушение, соблазн"
"short term" "короткий срок, краткосрочный"
"in closing" "в заключение"
commend "рекомендовать, хвалить"
"feel free!" "не стесняйтесь!"
"fall asleep" заснуть
resentful обиженный
clarity "ясность, четкость, прозрачность"
truly "действительно, поистине"
"get stuck" застревать
"inwardly (инвердли)" "про себя, внутри, в душе, в уме"
overly "чрезмерно, слишком"
"the one" тот
"the ones" те
"all the while" "все это время"
endless бесконечный
reject "отклонять, выбраковывать"
match "соответствовать, совпадать"
inspire "вдохновлять, воодушевлять,внушать"
extreme "крайность, крайняя степень"
entirely полностью
beware "остерегаться, беречься"
"rather than" "скорее чем, а не"
"so far" "до сих пор, пока"
"this comes as no surprise" "это не удивительно"
"give a ride" подвезти
"give a ride home" "подвезти домой"
"over time" "спустя некоторое время"
shift "сдвиг, изменение"
"there is thing to say" "есть, что сказать"
"a little" немного
clarify "уточнить, прояснить"
"a while back" "некоторое время назад"
"all of a sudden" вдруг
commit "совершать, фиксировать, вводить в дело"
some "перед неисчисляемыми - “некоторое количество”, перед исчисляемыми - “несколько” 
“некоторые”
Только в утвердительных предложениях"
any "в утвердительных предложениях - “любой”
в отрицательных - вместо some"
outcome "результат, исход"
"all day long" "весь день напролет"
as..as "такой же...как, так же...как"
"not as .. as" "не такой... как"
"i feel like reading" "мне хочется ..."
"they have nowhere to go" "Им некуда идти"
either "или, любой, один из двух, оба. В отрицательных предложениях - «ни тот, ни другой» или «ни один из двух»"
neither "ни, ни тот ни другой,"
countless бесчисленный
"get back" возвращаться
"why on earth" "с какой стати"
"bless you" "будьте здоровы"
"so do i" "я тоже"
invoke "вызывать (функцию)- в программировании"
intimidate запугивать
"determine (дитермин)" "определять, устанавливать"
particularity особенность
presence присутствие
simplicity простота
"subtle (сэтл)" "тонкий, едва различимый"
"to keep track" отслеживать
alongside рядом
produce "производить, вырабатывать"
demeanor поведение
"for the sake of it" "ради этого"
pointless бессмысленный
adopt "принимать, перенимать, усыновлять"
"outside the box" нестандартно
"convince (кэнвинс)" "убеждать, уверять"
"resourceful (сорсфул)" находчивый
"once upon a time" "когда-то, давно"
"to have a good time" "хорошо проводить время"
"for how long a time?" "в течение какого времени?"
repeatedly "неоднократно, повторно"
straight "прямой, подряд"
"five day straight" "пять дней подряд"
"other way around" наоборот
"when it comes to" "когда дело доходит до"
thereby "таким образом, тем самым"
face сталкиваться
discontent недовольство
"to top it off" "в довершение всего"
"i can turn this around" "я смогу все исправить"
"i couldn't agree more" "не могу не согласиться"
"to do that" "для этого"
"if any" "если есть"
overestimate переоценивать
"so that" "так чтобы, так что"
"so as to" "так чтобы"
"get carried away" увлечься
"let alone" "не говоря уже о ..."
"you are doing great" "ты прекрасно справляешься"
"this feels so right" "это так хорошо"
"after a while" "спустя некоторое время"
restless "беспокойный, неугомонный"
"give it a try" попытаться
ad "объявление, реклама"
timeless вечный
"evil (ивэл)" "зло, злой"
"abandoned (эбанденд)" заброшенный
acknowledge "признавать, вознаграждать"
rival "соперник, соперничать"
resemblance сходство
superficial поверхностный
destined предназначенный
unable "не в состоянии, неспособный"
prescription рецепт
savage дикарь
foresee "предусмотреть,предчувствовать, предвидеть"
crudly грубо
sole единственный
basically "в основном"
"up to" "вполь до"
"up to date" "до настоящего времени"
"up to you" "вам решать"
"up to now" "до сих пор"
"in whisper" шепотом
"in a loud voice" "громким голосом"
"to somebody’s mind" "по чьему-то мнению"
"in somebody’s opinion" "по чьему-то мнению"
"double down on, double" удвоить
"triple down on, triple" утроить
endure терпеть
"give up on" "отказаться от"
acquire приобретать
"you're willing" "ты готов"
"and so forth" "и так далее, и тому подобное"
"all along, all the time" "все это время"
"the whole thing" "все это"
"push away" отталкивать
"very last" "самый последний"
profit "выгода, польза"
estate имущество
impact "влияние, воздействие"
"for a little while" "на некоторое время"
respectively "соответственно, в указанном порядке"
fallacy заблуждение
"mind your own business" "Не ваше дело! Занимайтесь своим делом!"
"who for" "ради кого"
"whole point" "весь смысл"
"I wish you all the best" "Я желаю тебе всего самого лучшего"
"for Nothing" "понапрасну, без пользы"
"at some point" "в какой-то момент"
"i'm in a hurry" "я спешу"
receive "получать, принимать"
"something got in the way" "что-то мешает"
"no hard feelings" "никаких обид"
threat угроза
mindful внимательный
reply "отвечать, ответ, отчет"
mindset "образ мышления"
"i would have some coffee" "я бы выпил кофе"
"i will come now" "я сейчас приду"
stubborn "упрямый, упорный"
"year in year out" "из года в год"
"everything else" "все остальное"
"we're forced" "мы вынуждены"
"That’s not the case" "это не тот случай"
"trust to, trust with" "доверять что-либо кому либо"
"who to trust" "кому доверять"
"pay mind" "обратить внимание"
"every now and then" "время от времени"
"everyone else" "все остальные"
"take your time" "не торопись"
"changed my mind" передумал
"life is nothing but ..." "жизнь не что иное, как"
"is nothing but" "ничего кроме"
"based on ..." "судя по ..."
pursuit стремление
"for the rest" "что касается прочего, что до остального, в остальном"
"to get rid of" "избавиться от"
namely "а именно"
"so am i, me too" "я тоже"
"walking down" спускаясь
"i got more things done" "я сделал больше вещей"
"get something out" "получить что-то"
"nothing will" "ничего не получится, ничего не будет"
"to hold on" подождать
"either way" "так или иначе, в любом случае"
"such as" например
"very few people" "очень немногие люди"
"but this is nothing compared to the ..." "но это ничто по сравнению с ..."
overall "в целом, общий, полных"
"i have no options left" "у меня не осталось вариантов"
"it has not worth it" "это того не стоит"
tightly "плотно, крепко, наглухо"
"two more" "еще два"
"go past" "пройдите мимо"
"how do i get to …, can you tell me the way to" "как мне добраться до ..."
"what’s that over there?" "что это там?"
inherently "по существу, от природы"
prohibit запрещать
"get away" "спасаться, избегать, поехать куда-то отдыхать"
"get back to" "перезванивать кому-либо позднее, связываться позднее"
"get behind" "опаздывать, просрочивать"
"get by" "выживать, обходиться"
"get off" "выходить из транспорта, заканчивать работу"
"get over" "оправиться, пережить"
"get together" "собираться вместе"
"get up" "вставать, принимать стоячее положение"
"give in" "уступить, сдаться"
"the very words" "те самые слова"
"shy away" уклоняться
"in total" "в целом, в итоге, в сумме, итого"
approach "приближаться, приближение, подход"
corresponding "соответствующий, подобный"
eternal вечный
perception восприятие
robust "крепкий, сильный"
absorb "поглощать, впитывать"
abuse "злоупотреблять, оскорблять, плохо обращаться, злоупотребление, оскорбление"
accompany "сопровождать, сопутствовать"
accuse обвинять
adapt адаптироваться
advert "объявление, касаться, обращаться"
advertising "реклама, рекламирование"
"ban (бан)" запрет
bat "летучая мышь"
"behalf of" "от имени"
bid "заявка, предложение цены"
bin "мусорное ведро, бункер"
beard борода
bone "кость, костяк, скелет"
breast грудь
buyer покупатель
"cap (кап)" шапка
capable "способный, могущий"
capture захватить
cartoon мультфильм
"cereal (сириэл)" "крупа, каша"
cheek щека
"it happens" "такое случается"
hill холм
"stand out" "выделяться, выступать"
anniversary "годовщина, юбилей"
"he is considered (кэнсидэрт)" "он считается"
wicked "злой, безнравственный"
persuasion убеждение
particular "особый, специфический"
sink тонуть
"just over a year ago" "чуть больше года назад"
"set sail" отплыть
sufficient достаточно
"it is said" говорят
launch(лоонч) запускать
"think of" придумывать
steam пар
"was short lived" "был недолгим"
sometime когда-то
"i cannot stand" "я не терпеть не могу"
"you are not allowed" "вам не разрешено"
"not necessary" "не обязательно"
necessarily обязательно
"i got enough of that" "мне это надоело"
slightly слегка
assumption предположение
arbitrary "произвольный, случайный"
"at the height of working hours" "в разгар рабочего дня"
"have some rest" "немного отдохнуть"
"i think this will do" "я думаю это подойдет"
"will do" "подойдет, будет полезным, будет соответствовать"
"telephone will not do" "по телефону не получится"
"it calls for a good celebration!" "нужно как следует это отметить"
"be about
(So, what are you about to do?)" "быть готовым сделать что-то прямо сейчас"
"let’s suppose" "(давайте) предположим"
"you are your usual self" "ты как обычно"
"can hardly" "вряд ли"
"all of the kind" "все в таком роде"
"just in case" "на всякий случай"
"give a call to him" "позвони ему"
"on the word" "без промедления, мгновенно"
"we can do with something" "нам может пригодиться"
"when we want something to happen" "когда мы хотим чтобы что-то произошло"
"from within" изнутри
"take this lightly" "относиться к этому легкомысленно"
separate "отдельный, самостоятельный, отделять, разделять"
"to make it happen" "чтобы это произошло"
"flaw (флоо)" недостаток
supposedly "якобы, предположительно, по общему мнению"
duration "продолжительность, длительность"
exploit эксплуатировать
"narrow down" "сузить, сводить к"
testimonial "отзыв, характеристика"
proposal предложение
proof "доказательство, проверка, устойчивый, непробиваемый"
void пустота
"it is no use, it's no-good" бесполезно
"in terms" "с точки зрения"
"do well" преуспевать
"not that much bad" "не так уж и плохо"
struggle "борьба, усилие, напряжение, бороться, пробиваться"
whatsoever "что бы то ни было, какой бы ни"
predict прогнозировать
traits черты
humility смирение
"bring back" "вернуть, возвращать"
obtain "получать, приобретать"
insane "безумный, ненормальный"
"behalf of" "от имени"
"it comes down to" "это сводится к"
diversity разнообразие
insight "понимание, интуиция"
"as you go" "по мере продвижения"
appeal "обращение, призыв"
"content with" довольствоваться
weakness слабость
strengths "сильные стороны"
"curious (кюриос)" "любопытный, странный, любознательный"
"curiosity (кюриосити)" любопытство
"nothing is clear" "ничего не понятно"
"more than twice as much tea as coffee" "более чем в два раза больше чая чем кофе"
"but in some ways" "но в некотором смысле"
"make a point" "принимать решение (окончательное)"
"make room" "потесниться, освободить место"
acclaim "признание, возгласы одобрения"
profitable выгодно
"make it plain" разъяснить
"nothing seems to have happened" "кажется ничего не произошло"
inhabitant житель
"pass by" "проходить мимо"
"authorities (оусоритис)" "органы власти"
"nearby (нирбай)" "рядом, поблизости, близлежащий"
natural "естественный, подходящий человек"
"tech (тэк)" технология
oblivious "не обращающий внимание"
implication "причастность, поддекст, смысл"
implications последствия
relevant соответствующий
discard "отбрасывать, отказываться"
"talk over (let’s talk this over)" "поговорить (давай поговорим об этом)"
"fade away" "угасать, исчезать"
"on and off" "время от времени"
"how come" "как так, почему так выходит"
"how does it feel" "каково это"
"come around" "подходить, приходить, приближаться"
"start becoming aware" "начни осознавать"
mankind человечество
"from now on" "отныне, с этого момента"
"on your left" "слева от вас"
"to the left of" "слева от"
"go back" вернитесь
"turn around" повернись
freeway автострада
"do not go farther than" "не едьте дальше"
"take part" "участвовать, принимать участие, вступиться"
expenses "затраты, расходы"
"at the expense" "за счет"
"is meant for" "предназначено для"
"back then" тогда
"no longer" "больше никогда"
"if i care" "волнует ли меня"
"not fair" "не честно"
"over the past ten years" "за последние 10 лет"
"be proud of" "гордиться чем-либо, кем-либо"
"no real experience is needed" "никакого реального опыта не требуется"
exhausted "усталый измученный"
"i fell behind" "я отстал"
"torn,torn apart" разорванный,растерзанный
consistency "единообразие, последовательность, согласованность"
"had better (you had better finish the report)" "было бы лучше, лучше бы"
whereas "тогда как, в то время как"
"to bother" "беспокоить, беспокоиться, хлопотать"
affect "влиять, затрагивать"
annoy раздражать
anxiety тревога
anxious "тревожный, озабоченный"
broadcast "трансляция, вещать"
ceiling потолок
climb взбираться
combine "сочетать, объединять"
cupboard шкаф
curve кривая
elbow локоть
election выборы
embarrass "смущать, стеснять"
employ нанимать
gradual постепенный
injury "травма, повреждение"
insect насекомое
mix "смешивать, сочетать"
offense "правонарушение, нападение, оскорбление"
partly "отчасти, частично"
praise "похвала, хвалить"
remain "оставаться в каком-либо состоянии"
shot "выстрел, кадр"
sincere искренний
slight "незначительный, небольшой"
swallow глотать
swing "качаться, размахивать"
throat горло
unite объединяться
wealth богатство
"start over" "начать сначала"
"in exchange" "в обмен, взамен"
"for once" "хоть раз"
"far too" слишком
"how much is" "сколько стоит"
"if you are serious about being seen as ..." "если ты серьезно настроен на то, чтобы тебя увидели как ..."
"you’re the best fit for" "ты лучше всего подходишь для"
"have time" успевать
rescue спасение
concrete бетон
elsewhere "в другом месте"
trousers брюки
"nurse (нэрс)" медсестра
nil ноль
"healthy (хэлси)" здоровый
granny бабуля
observer наблюдатель
matter дело
candy конфеты
refrigerator холодильник
shore берег
couch диван
remark замечание
dismiss отклонять
divorce развод
heat "высокая температура"
"nonetheless (нонзелес)" "тем не менее"
